gtopt_id_structure	mane_id_structure	tm_score_selected	tmalign_status	pair_status	return_code	pair_index	gtopt_key	mane_key	tmalign_status_key	pair_status_key	valid_tmalign_status	valid_pair_status	valid_return_code	domain_category	length_group	sequence_change_category	structure_changed	structure_status
GTOPT000028268	ENST00000343744.7	0.91215	ok	READY	0	25	GTOPT000028268	ENST00000343744	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000031110	ENST00000401041.6	0.46149	ok	READY	0	27	GTOPT000031110	ENST00000401041	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000033045	ENST00000334785.12	0.27864	ok	READY	0	28	GTOPT000033045	ENST00000334785	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000033260	ENST00000334785.12	0.14304	ok	READY	0	29	GTOPT000033260	ENST00000334785	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000033276	ENST00000334785.12	0.28194	ok	READY	0	30	GTOPT000033276	ENST00000334785	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000033413	ENST00000370763.6	0.47147	ok	READY	0	31	GTOPT000033413	ENST00000370763	ok	READY	TRUE	TRUE	TRUE	Domain gain	Length change 0-10%	Length changed	TRUE	Structure changed
GTOPT000033875	ENST00000686636.1	0.08144	ok	READY	0	32	GTOPT000033875	ENST00000686636	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000034089	ENST00000370685.7	0.67309	ok	READY	0	33	GTOPT000034089	ENST00000370685	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	FALSE	No evident structure change
GTOPT000036198	ENST00000271234.13	0.52849	ok	READY	0	34	GTOPT000036198	ENST00000271234	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000036355	ENST00000370214.9	0.24382	ok	READY	0	35	GTOPT000036355	ENST00000370214	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000039954	ENST00000309851.10	0.84251	ok	READY	0	37	GTOPT000039954	ENST00000309851	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 10-20%	Length changed	FALSE	No evident structure change
GTOPT000040009	ENST00000256593.8	0.98696	ok	READY	0	38	GTOPT000040009	ENST00000256593	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 10-20%	Length changed	FALSE	No evident structure change
GTOPT000040028	ENST00000256593.8	0.51872	ok	READY	0	39	GTOPT000040028	ENST00000256593	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 20-50%	Length changed	FALSE	No evident structure change
GTOPT000042708	ENST00000349139.6	0.29567	ok	READY	0	40	GTOPT000042708	ENST00000349139	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000043080	ENST00000369413.8	0.99403	ok	READY	0	41	GTOPT000043080	ENST00000369413	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000046204	ENST00000695795.1	0.11046	ok	READY	0	42	GTOPT000046204	ENST00000695795	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000050074	ENST00000318967.7	0.12573	ok	READY	0	43	GTOPT000050074	ENST00000318967	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000052703	ENST00000368300.9	0.33262	ok	READY	0	44	GTOPT000052703	ENST00000368300	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 10-20%	Length changed	TRUE	Structure changed
GTOPT000053399	ENST00000368235.8	0.52588	ok	READY	0	45	GTOPT000053399	ENST00000368235	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 10-20%	Length changed	FALSE	No evident structure change
GTOPT000053405	ENST00000368235.8	0.71172	ok	READY	0	46	GTOPT000053405	ENST00000368235	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	FALSE	No evident structure change
GTOPT000054118	ENST00000295809.12	0.71457	ok	READY	0	47	GTOPT000054118	ENST00000295809	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000054435	ENST00000255040.3	0.51409	ok	READY	0	48	GTOPT000054435	ENST00000255040	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	FALSE	No evident structure change
GTOPT000054678	ENST00000361216.8	0.21421	ok	READY	0	49	GTOPT000054678	ENST00000361216	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000055616	ENST00000368003.6	0.89259	ok	READY	0	50	GTOPT000055616	ENST00000368003	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000056659	ENST00000358671.10	0.69917	ok	READY	0	51	GTOPT000056659	ENST00000358671	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000057647	ENST00000420696.7	0.34146	ok	READY	0	52	GTOPT000057647	ENST00000420696	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000057758	ENST00000367889.8	0.6807	ok	READY	0	53	GTOPT000057758	ENST00000367889	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	FALSE	No evident structure change
GTOPT000059786	ENST00000617670.6	0.75936	ok	READY	0	54	GTOPT000059786	ENST00000617670	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	FALSE	No evident structure change
GTOPT000060111	ENST00000627582.3	0.10005	ok	READY	0	55	GTOPT000060111	ENST00000627582	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000060664	ENST00000681986.1	0.25718	ok	READY	0	56	GTOPT000060664	ENST00000681986	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000061741	ENST00000606911.7	0.49082	ok	READY	0	57	GTOPT000061741	ENST00000606911	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	TRUE	Structure changed
GTOPT000065780	ENST00000367385.9	0.95623	ok	READY	0	59	GTOPT000065780	ENST00000367385	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 10-20%	Length changed	FALSE	No evident structure change
GTOPT000066260	ENST00000442510.8	0.13424	ok	READY	0	60	GTOPT000066260	ENST00000442510	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000066503	ENST00000358823.7	0.27449	ok	READY	0	61	GTOPT000066503	ENST00000358823	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000067831	ENST00000608999.6	0.08738	ok	READY	0	63	GTOPT000067831	ENST00000608999	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000068699	ENST00000357681.10	0.23164	ok	READY	0	64	GTOPT000068699	ENST00000357681	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000068701	ENST00000357681.10	0.90303	ok	READY	0	65	GTOPT000068701	ENST00000357681	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000069754	ENST00000573034.8	0.59334	ok	READY	0	66	GTOPT000069754	ENST00000573034	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	FALSE	No evident structure change
GTOPT000078168	ENST00000366578.6	0.08485	ok	READY	0	69	GTOPT000078168	ENST00000366578	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000078253	ENST00000366577.10	0.09773	ok	READY	0	70	GTOPT000078253	ENST00000366577	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000082269	ENST00000433179.4	0.18621	ok	READY	0	71	GTOPT000082269	ENST00000433179	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 10-20%	Length changed	TRUE	Structure changed
GTOPT000083783	ENST00000341832.11	0.16223	ok	READY	0	72	GTOPT000083783	ENST00000341832	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000086667	ENST00000234590.10	0.78497	ok	READY	0	74	GTOPT000086667	ENST00000234590	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	FALSE	No evident structure change
GTOPT000087030	ENST00000377298.9	0.83515	ok	READY	0	75	GTOPT000087030	ENST00000377298	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000087898	ENST00000376936.9	0.36753	ok	READY	0	77	GTOPT000087898	ENST00000376936	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000092009	ENST00000438032.6	0.5241	ok	READY	0	78	GTOPT000092009	ENST00000438032	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000092794	ENST00000308271.14	0.8408	ok	READY	0	79	GTOPT000092794	ENST00000308271	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000093214	ENST00000302291.9	0.17756	ok	READY	0	80	GTOPT000093214	ENST00000302291	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000093295	ENST00000302271.11	0.55318	ok	READY	0	81	GTOPT000093295	ENST00000302271	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 10-20%	Length changed	FALSE	No evident structure change
GTOPT000093339	ENST00000302271.11	0.63734	ok	READY	0	82	GTOPT000093339	ENST00000302271	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	FALSE	No evident structure change
GTOPT000094430	ENST00000308873.11	0.24495	ok	READY	0	83	GTOPT000094430	ENST00000308873	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000096710	ENST00000263702.11	0.88925	ok	READY	0	84	GTOPT000096710	ENST00000263702	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000097292	ENST00000373713.7	0.9074	ok	READY	0	85	GTOPT000097292	ENST00000373713	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000097337	ENST00000373713.7	0.59993	ok	READY	0	86	GTOPT000097337	ENST00000373713	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 10-20%	Length changed	FALSE	No evident structure change
GTOPT000098698	ENST00000409190.8	0.4332	ok	READY	0	87	GTOPT000098698	ENST00000409190	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 0-10%	Length changed	TRUE	Structure changed
GTOPT000099184	ENST00000683057.1	0.09537	ok	READY	0	88	GTOPT000099184	ENST00000683057	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000099524	ENST00000357214.6	0.61145	ok	READY	0	89	GTOPT000099524	ENST00000357214	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000101494	ENST00000486637.2	0.9939	ok	READY	0	90	GTOPT000101494	ENST00000486637	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	FALSE	No evident structure change
GTOPT000104906	ENST00000262741.10	0.50149	ok	READY	0	91	GTOPT000104906	ENST00000262741	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 20-50%	Length changed	FALSE	No evident structure change
GTOPT000106863	ENST00000371655.4	0.45831	ok	READY	0	92	GTOPT000106863	ENST00000371655	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000106864	ENST00000371655.4	0.45831	ok	READY	0	93	GTOPT000106864	ENST00000371655	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000107653	ENST00000371470.8	0.64538	ok	READY	0	94	GTOPT000107653	ENST00000371470	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	FALSE	No evident structure change
GTOPT000108024	ENST00000234831.10	0.41028	ok	READY	0	95	GTOPT000108024	ENST00000234831	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 10-20%	Length changed	TRUE	Structure changed
GTOPT000114466	ENST00000370466.4	0.34339	ok	READY	0	96	GTOPT000114466	ENST00000370466	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000121578	ENST00000235521.5	0.91676	ok	READY	0	97	GTOPT000121578	ENST00000235521	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000123003	ENST00000641863.3	0.23743	ok	READY	0	98	GTOPT000123003	ENST00000641863	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000124061	ENST00000355594.9	0.29309	ok	READY	0	99	GTOPT000124061	ENST00000355594	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 10-20%	Length changed	TRUE	Structure changed
GTOPT000127478	ENST00000369155.4	0.81528	ok	READY	0	100	GTOPT000127478	ENST00000369155	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	FALSE	No evident structure change
GTOPT000129024	ENST00000683666.2	0.38529	ok	READY	0	101	GTOPT000129024	ENST00000683666	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000129697	ENST00000368868.10	0.92276	ok	READY	0	102	GTOPT000129697	ENST00000368868	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000129699	ENST00000368868.10	0.97298	ok	READY	0	103	GTOPT000129699	ENST00000368868	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000129714	ENST00000368868.10	0.57831	ok	READY	0	104	GTOPT000129714	ENST00000368868	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	FALSE	No evident structure change
GTOPT000133519	ENST00000302631.8	0.6681	ok	READY	0	105	GTOPT000133519	ENST00000302631	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 10-20%	Length changed	FALSE	No evident structure change
GTOPT000133652	ENST00000342741.6	0.88827	ok	READY	0	106	GTOPT000133652	ENST00000342741	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 10-20%	Length changed	FALSE	No evident structure change
GTOPT000142143	ENST00000308284.11	0.16937	ok	READY	0	108	GTOPT000142143	ENST00000308284	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000150231	ENST00000315927.9	0.57292	ok	READY	0	109	GTOPT000150231	ENST00000315927	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 20-50%	Length changed	FALSE	No evident structure change
GTOPT000153307	ENST00000414423.9	0.17339	ok	READY	0	110	GTOPT000153307	ENST00000414423	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000153507	ENST00000366843.7	0.2943	ok	READY	0	111	GTOPT000153507	ENST00000366843	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000153607	ENST00000366843.7	0.51137	ok	READY	0	112	GTOPT000153607	ENST00000366843	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000158217	ENST00000264187.7	0.23865	ok	READY	0	113	GTOPT000158217	ENST00000264187	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000160842	ENST00000298375.12	0.61188	ok	READY	0	114	GTOPT000160842	ENST00000298375	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	FALSE	No evident structure change
GTOPT000160992	ENST00000263126.3	0.97054	ok	READY	0	115	GTOPT000160992	ENST00000263126	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000161077	ENST00000315238.3	0.69354	ok	READY	0	116	GTOPT000161077	ENST00000315238	ok	READY	TRUE	TRUE	TRUE	No domain change	Length unchanged	Amino-acid changed	FALSE	No evident structure change
GTOPT000163293	ENST00000535784.7	0.99809	ok	READY	0	117	GTOPT000163293	ENST00000535784	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 10-20%	Length changed	FALSE	No evident structure change
GTOPT000163428	ENST00000544301.7	0.36122	ok	READY	0	118	GTOPT000163428	ENST00000544301	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000164787	ENST00000376236.9	0.39218	ok	READY	0	120	GTOPT000164787	ENST00000376236	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000164797	ENST00000376236.9	0.62561	ok	READY	0	121	GTOPT000164797	ENST00000376236	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	FALSE	No evident structure change
GTOPT000166519	ENST00000374704.8	0.80486	ok	READY	0	122	GTOPT000166519	ENST00000374704	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 10-20%	Length changed	FALSE	No evident structure change
GTOPT000168518	ENST00000651259.3	0.38803	ok	READY	0	123	GTOPT000168518	ENST00000651259	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	TRUE	Structure changed
GTOPT000168657	ENST00000282633.10	0.10428	ok	READY	0	124	GTOPT000168657	ENST00000282633	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000168783	ENST00000373980.11	0.09834	ok	READY	0	125	GTOPT000168783	ENST00000373980	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000169842	ENST00000358913.10	0.1102	ok	READY	0	126	GTOPT000169842	ENST00000358913	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000170514	ENST00000643399.2	0.86189	ok	READY	0	127	GTOPT000170514	ENST00000643399	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 10-20%	Length changed	FALSE	No evident structure change
GTOPT000172098	ENST00000539909.6	0.77488	ok	READY	0	129	GTOPT000172098	ENST00000539909	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000172169	ENST00000539909.6	0.91576	ok	READY	0	130	GTOPT000172169	ENST00000539909	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000172175	ENST00000539909.6	0.84042	ok	READY	0	131	GTOPT000172175	ENST00000539909	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000175269	ENST00000361373.9	0.17107	ok	READY	0	132	GTOPT000175269	ENST00000361373	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000175409	ENST00000361373.9	0.17107	ok	READY	0	133	GTOPT000175409	ENST00000361373	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000175660	ENST00000372017.4	0.36888	ok	READY	0	134	GTOPT000175660	ENST00000372017	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000176049	ENST00000456849.2	0.24938	ok	READY	0	135	GTOPT000176049	ENST00000456849	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change >50%	Length changed	TRUE	Structure changed
GTOPT000177111	ENST00000336126.6	0.47333	ok	READY	0	136	GTOPT000177111	ENST00000336126	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000177805	ENST00000225235.5	0.52966	ok	READY	0	137	GTOPT000177805	ENST00000225235	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000177962	ENST00000371321.9	0.66486	ok	READY	0	138	GTOPT000177962	ENST00000371321	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	FALSE	No evident structure change
GTOPT000178039	ENST00000260682.8	0.96575	ok	READY	0	139	GTOPT000178039	ENST00000260682	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000178180	ENST00000371205.5	0.40565	ok	READY	0	140	GTOPT000178180	ENST00000371205	ok	READY	TRUE	TRUE	TRUE	Domain gain	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000180840	ENST00000369880.8	0.87192	ok	READY	0	141	GTOPT000180840	ENST00000369880	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	FALSE	No evident structure change
GTOPT000182048	ENST00000369519.4	0.1998	ok	READY	0	142	GTOPT000182048	ENST00000369519	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000182776	ENST00000694986.1	0.31417	ok	READY	0	143	GTOPT000182776	ENST00000694986	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	TRUE	Structure changed
GTOPT000186990	ENST00000368594.8	0.49526	ok	READY	0	146	GTOPT000186990	ENST00000368594	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000188406	ENST00000380753.9	0.88389	ok	READY	0	147	GTOPT000188406	ENST00000380753	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 10-20%	Length changed	FALSE	No evident structure change
GTOPT000188450	ENST00000380753.9	0.97111	ok	READY	0	148	GTOPT000188450	ENST00000380753	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 10-20%	Length changed	FALSE	No evident structure change
GTOPT000189913	ENST00000357604.10	0.40859	ok	READY	0	149	GTOPT000189913	ENST00000357604	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	TRUE	Structure changed
GTOPT000190384	ENST00000357447.7	0.14715	ok	READY	0	150	GTOPT000190384	ENST00000357447	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000190707	ENST00000181796.7	0.12129	ok	READY	0	151	GTOPT000190707	ENST00000181796	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000192095	ENST00000377122.9	0.23696	ok	READY	0	153	GTOPT000192095	ENST00000377122	ok	READY	TRUE	TRUE	TRUE	No domain change	Length change 0-10%	Length changed	TRUE	Structure changed
GTOPT000195892	ENST00000374788.8	0.26118	ok	READY	0	161	GTOPT000195892	ENST00000374788	ok	READY	TRUE	TRUE	TRUE	Domain gain	Length change 20-50%	Length changed	TRUE	Structure changed
GTOPT000199288	ENST00000331173.6	0.152	ok	READY	0	162	GTOPT000199288	ENST00000331173	ok	READY	TRUE	TRUE	TRUE	Domain loss	Length change 20-50%	Length changed	TRUE	Structure changed
