Ind	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	pop	superpop
GTOP-BE181	0.949831	-6.15835	6.81078	11.3518	-3.35744	7.73157	3.73258	-20.0715	6.59708	4.00822	GTOP	GTOP
GTOP-BE221	1.19165	-10.0898	2.7952	4.23902	-7.21054	-2.95312	4.58341	-8.02028	-6.77493	-6.19471	GTOP	GTOP
GTOP-BF221	10.5134	-14.4845	2.55148	7.57232	-1.49394	5.17046	-1.26383	3.83673	-12.1794	4.40187	GTOP	GTOP
GTOP-BF251	-1.85665	-9.31968	10.491	-0.871785	-5.88813	12.2388	3.43302	-2.72829	2.55101	7.8279	GTOP	GTOP
GTOP-BF271	-1.77579	-6.81454	7.5078	-14.149	-14.7323	-4.41288	-3.61505	-17.4475	1.02395	-8.50215	GTOP	GTOP
GTOP-BG091	1.57612	-8.69518	-5.76367	-4.69081	-1.14148	-10.3635	-9.49286	0.898499	5.06646	-0.374983	GTOP	GTOP
GTOP-BG171	2.98562	-11.7426	9.8767	3.87604	1.1015	8.34063	-4.48611	3.62752	12.114	-1.20601	GTOP	GTOP
GTOP-BG291	2.40704	-9.77892	10.4955	5.48161	-3.93039	2.51731	-0.506679	9.69937	-6.02169	10.9039	GTOP	GTOP
GTOP-BG311	5.47252	-11.8728	2.92519	-1.03759	-3.69299	1.75472	-0.715991	3.98866	2.97952	4.31595	GTOP	GTOP
GTOP-BH071	-1.91805	-6.61285	-7.43371	3.71552	1.9353	2.13477	-14.5304	10.2986	16.6614	-2.8996	GTOP	GTOP
GTOP-BH101	-0.692435	-9.78068	-4.31862	6.68591	5.50715	-5.31907	1.35231	-10.5467	1.69424	2.78631	GTOP	GTOP
GTOP-BH131	-2.53288	-10.5504	1.34102	3.30644	-4.97876	-12.7489	-5.20053	-5.99953	8.00128	-4.42705	GTOP	GTOP
GTOP-BH171	4.48165	-11.8862	7.00424	4.80321	-4.2047	4.0415	-4.84136	10.4078	8.09372	-9.66716	GTOP	GTOP
GTOP-BH271	-0.0955409	-7.68651	2.59561	1.1383	12.0564	6.40703	1.73016	-1.73431	-2.71969	7.05166	GTOP	GTOP
GTOP-BI071	0.60259	-9.0953	4.52685	6.48207	-0.958923	-3.60409	-6.69727	-3.10654	0.253429	7.24553	GTOP	GTOP
GTOP-BI281	-0.689761	-7.31347	2.37721	4.09423	-9.54073	-3.04045	0.587843	-4.14527	-4.55134	-6.63733	GTOP	GTOP
GTOP-BJ111	2.4331	-11.0402	8.50901	5.55001	0.604368	7.59684	-2.05288	1.41552	-8.38152	4.28244	GTOP	GTOP
GTOP-BJ131	1.2698	-8.80234	2.5419	-2.54286	6.14987	10.3709	-8.25806	3.86567	4.76009	7.95968	GTOP	GTOP
GTOP-BJ141	1.34292	-12.7531	0.209557	-8.6572	-8.52523	-1.22002	7.93156	-2.58524	0.0333394	-19.025	GTOP	GTOP
GTOP-BJ171	0.598535	-7.91019	6.7548	-14.0672	4.25154	-10.831	-0.379871	-10.0731	5.01387	-2.0644	GTOP	GTOP
GTOP-BJ191	-0.552292	-8.76709	0.457746	-0.304377	5.7049	8.40622	-7.22734	-0.446945	5.89169	-1.99104	GTOP	GTOP
GTOP-BJ201	0.761039	-7.27066	-1.29427	-5.0039	-7.15666	2.92353	4.02858	-4.14736	-3.34876	-3.78181	GTOP	GTOP
GTOP-BK021	6.22416	-14.2592	10.453	6.15744	-2.46722	1.80135	-3.41007	-1.83368	-8.34593	0.708865	GTOP	GTOP
GTOP-BK071	-1.629	-7.81778	2.87167	-6.28813	-3.22436	-5.60429	0.995127	4.59028	0.0636526	14.1683	GTOP	GTOP
GTOP-BK161	0.665882	-8.34538	8.95184	9.21189	-7.10977	-1.08548	3.84867	-10.6385	3.85402	7.21196	GTOP	GTOP
GTOP-BK191	-1.05258	-6.15021	4.05181	2.63107	2.43603	-0.73869	0.444886	-0.483586	5.37766	-14.7868	GTOP	GTOP
GTOP-BK251	4.16202	-14.1338	8.93816	-5.60834	7.91102	0.361413	6.55766	-4.53667	-2.77001	-3.42761	GTOP	GTOP
GTOP-BK261	4.47213	-9.76377	-5.49603	-6.75688	-15.5516	1.27472	3.55711	-3.03672	2.34259	8.17396	GTOP	GTOP
GTOP-BK281	1.55728	-11.2789	-4.07616	10.331	4.88429	4.59015	-4.05615	0.175737	10.2405	-10.0208	GTOP	GTOP
GTOP-BL021	-3.7345	-5.85408	-0.817744	0.50986	-11.7545	6.85604	5.1747	-4.813	-4.51701	-15.1036	GTOP	GTOP
GTOP-BL091	0.993786	-8.88278	2.34396	-0.640953	1.58062	1.96119	2.48169	-5.25502	-3.44092	-3.5645	GTOP	GTOP
GTOP-BL151	1.88844	-10.3382	8.2336	1.22255	1.56182	3.37399	5.03397	-7.2503	3.79456	10.5595	GTOP	GTOP
GTOP-BL161	-2.82661	-7.4639	7.44771	9.64068	5.11138	-2.67	0.381823	-7.71201	1.38873	-3.64138	GTOP	GTOP
GTOP-BL221	3.16816	-11.5724	16.481	0.0902789	-11.1485	3.23639	2.32527	-3.61801	-8.64669	6.06876	GTOP	GTOP
GTOP-BL261	-1.65335	-5.67512	-2.62545	-4.56134	10.4262	-8.69638	-7.97331	-4.42319	0.741592	-10.333	GTOP	GTOP
GTOP-BL271	2.33975	-10.3494	3.40221	1.21394	2.75376	-6.73435	-6.49383	-4.94673	2.04309	9.7126	GTOP	GTOP
GTOP-CA031	0.622191	-9.21974	-1.77505	9.93287	-7.40083	-0.812216	4.79202	-6.5386	3.43946	-6.49008	GTOP	GTOP
GTOP-CA081	-0.831228	-7.12797	10.1965	-4.51913	-1.3922	9.86042	2.05868	-12.1292	-1.28623	8.46539	GTOP	GTOP
GTOP-CA121	-6.95492	-7.66673	-2.09111	-1.58128	2.59283	-2.77693	-0.946824	-6.2971	8.58238	4.01128	GTOP	GTOP
GTOP-CA161	1.59953	-9.02699	1.65458	11.9689	3.19492	1.44538	12.5602	-6.08317	10.5418	-0.42304	GTOP	GTOP
GTOP-CA171	-3.31814	-7.40335	3.21134	6.13218	-7.90434	14.8907	2.33641	-3.22462	7.04977	2.77289	GTOP	GTOP
GTOP-CA181	1.76911	-12.5953	12.569	-6.48455	16.8822	4.01503	-1.56848	7.34899	-1.60692	11.975	GTOP	GTOP
GTOP-CA231	2.78664	-9.52103	8.27506	0.660078	3.32666	15.1507	0.967783	4.69791	14.0361	5.95487	GTOP	GTOP
GTOP-CA241	-3.46516	-9.66721	-1.32589	0.132762	-13.0847	3.17086	4.7777	-2.62921	14.0264	2.2094	GTOP	GTOP
GTOP-CB051	-1.57905	-7.15989	2.93412	-1.1892	1.83803	-5.63007	5.04029	-5.54222	-6.8801	1.86402	GTOP	GTOP
GTOP-CB052	0.166579	-8.31831	-3.45235	2.08101	6.32025	-2.34008	-6.01563	-8.29541	3.48801	1.52136	GTOP	GTOP
GTOP-CB121	-2.62871	-6.45331	13.647	-2.52962	-10.3867	-3.35832	3.94192	-9.97373	7.54772	-2.10895	GTOP	GTOP
GTOP-CB151	-0.281385	-4.23035	4.05849	3.04826	5.90837	2.16684	-5.76724	2.38612	4.1975	-4.91705	GTOP	GTOP
GTOP-CB161	-1.06586	-9.01051	-4.56744	2.49039	-8.9886	-12.5109	-19.1071	4.80667	7.01307	5.00667	GTOP	GTOP
GTOP-CB261	0.0215725	-6.77843	8.11115	12.2353	-9.24459	-4.76617	0.565504	-5.98225	-2.47883	-0.433672	GTOP	GTOP
GTOP-CB271	-1.14192	-6.94514	3.38275	-6.07562	-12.135	7.65345	2.16198	-1.8	14.5284	6.58549	GTOP	GTOP
GTOP-CB281	-1.81523	-6.55616	-5.74578	5.0836	-2.05181	-2.91428	-7.9197	-9.25103	0.488401	-1.10827	GTOP	GTOP
GTOP-CC031	-2.17952	-6.57885	10.0382	-8.58149	2.45677	7.9465	-3.89499	-10.1298	-8.37242	5.62156	GTOP	GTOP
GTOP-CC041	-2.86824	-7.2356	3.14557	-17.433	2.55062	10.0675	-8.32592	-4.6432	2.57712	-0.0897091	GTOP	GTOP
GTOP-CC061	-2.30066	-6.421	1.80525	9.58163	6.06449	1.64886	-1.29557	4.22588	6.99646	-4.63142	GTOP	GTOP
GTOP-CC121	1.88969	-8.85176	-0.423836	-0.468047	-13.7637	-4.86083	0.553524	-6.06109	-7.31196	6.86839	GTOP	GTOP
GTOP-CC131	2.30692	-11.3176	10.4053	14.5699	-5.07175	1.13065	-0.736035	-8.65746	2.8	-4.21161	GTOP	GTOP
GTOP-CC141	4.10552	-8.91785	14.659	5.61115	-0.769059	-3.03342	-1.23937	-4.92676	-0.682007	-0.77737	GTOP	GTOP
GTOP-CC201	7.66733	-12.9177	3.05209	-0.234629	-7.68175	1.68638	3.28286	1.57514	2.91261	13.2371	GTOP	GTOP
GTOP-CC231	1.55759	-7.32328	2.34405	-2.14419	13.3049	12.2137	3.91382	3.51212	-0.773231	2.3017	GTOP	GTOP
GTOP-CC241	2.86163	-12.6737	8.12722	-6.24931	4.96857	0.584234	0.882081	-18.376	-1.30296	-3.17631	GTOP	GTOP
GTOP-CC251	1.95845	-12.7915	0.363411	-11.8006	-11.1899	-0.961435	1.97442	-3.02832	-3.03785	3.79241	GTOP	GTOP
GTOP-CC291	-1.48705	-3.3739	3.33601	7.10971	9.96902	-3.81224	-4.68365	-15.6963	4.18095	-2.94948	GTOP	GTOP
GTOP-CC311	1.51958	-10.4205	8.65605	13.8567	1.19125	5.41861	9.57745	0.30466	0.223576	-1.52756	GTOP	GTOP
GTOP-CD021	0.8517	-8.78644	2.76233	-9.64045	-4.13199	-4.05662	-9.71371	-6.88404	-1.19374	-2.46941	GTOP	GTOP
GTOP-CD121	4.05412	-10.6256	-5.06084	8.79525	-2.73487	0.373159	-9.54106	1.16938	10.4315	9.71493	GTOP	GTOP
GTOP-CE111	3.33515	-9.78047	2.22821	-0.0907726	-4.68517	5.73683	-7.83973	-3.08738	-0.802139	-3.15481	GTOP	GTOP
GTOP-CE131	3.06409	-9.90126	3.42825	7.6018	7.23758	0.0679612	16.2971	-0.187179	-3.65053	14.253	GTOP	GTOP
GTOP-CE141	0.956473	-11.2275	1.76942	9.15207	-3.36873	0.374395	-2.40037	0.924942	3.82154	-4.44332	GTOP	GTOP
GTOP-CE161	4.39384	-11.4524	13.0042	1.34844	8.20142	14.9276	1.75296	2.10989	-2.16386	3.18231	GTOP	GTOP
GTOP-CF011	1.30102	-7.43073	1.40694	-12.8122	-2.63028	-6.92553	-4.43333	2.09112	7.48311	-2.88924	GTOP	GTOP
GTOP-CF051	-1.09363	-8.19631	8.54156	-4.87962	3.33468	6.61671	-7.88561	-5.57018	4.93103	7.52678	GTOP	GTOP
GTOP-CF121	1.4959	-11.2469	-1.89334	0.893309	-0.995874	1.79447	-1.73792	-1.71998	3.98033	-2.66246	GTOP	GTOP
GTOP-CF201	0.330545	-7.24205	3.43491	0.217975	-7.4562	-7.81121	-1.29714	-2.30858	-3.60071	-0.173797	GTOP	GTOP
GTOP-CF221	-0.978555	-9.17159	-1.99574	14.3392	1.50344	4.00114	1.49951	-12.6874	-6.48869	-7.09145	GTOP	GTOP
GTOP-CF241	-3.38877	-8.69718	7.92462	12.4921	-6.04318	-5.6916	-3.19874	-9.33449	9.40605	-2.08888	GTOP	GTOP
GTOP-CF242	-3.09899	-5.89343	1.26578	-0.1345	8.38525	7.4804	0.125364	5.0007	0.31738	6.91931	GTOP	GTOP
GTOP-CF301	1.30255	-11.0485	2.19922	2.62793	-9.94218	-3.0564	5.7181	-8.52654	8.43788	-4.7024	GTOP	GTOP
GTOP-CG041	4.04734	-10.6252	11.999	9.9746	-0.371968	7.95535	1.1186	3.19871	-4.46695	-1.96256	GTOP	GTOP
GTOP-CG061	5.84606	-12.6188	8.72081	9.09146	4.56789	-4.86245	-3.22007	-0.488397	2.7974	2.37238	GTOP	GTOP
GTOP-CG071	-1.26426	-8.20989	5.09433	7.49989	9.87821	6.49441	-9.36883	-9.37062	-7.28292	4.75803	GTOP	GTOP
GTOP-CG091	4.40716	-9.54201	-2.07361	1.04546	-1.59814	-4.89263	3.92278	-0.598485	-7.6496	8.57671	GTOP	GTOP
GTOP-CG111	-2.56888	-5.75092	6.69895	12.2689	0.396717	-10.4482	-8.19098	-0.726098	-4.63593	-0.153676	GTOP	GTOP
GTOP-CG171	0.0456322	-9.80089	12.9477	-7.68781	7.57291	6.41546	-5.71043	-1.8542	-8.52601	-1.42141	GTOP	GTOP
GTOP-CG172	0.232816	-12.3389	6.94134	-7.20586	-11.9811	-0.520695	1.6305	-4.91311	8.66973	-7.16749	GTOP	GTOP
GTOP-CG191	-1.28094	-9.259	8.22605	0.108882	-7.08821	-4.88928	-9.71449	-1.90598	6.36197	-1.73883	GTOP	GTOP
GTOP-CG211	4.4538	-12.6235	6.31122	3.2716	-4.10418	4.63543	8.40747	2.09086	-0.923908	-2.28036	GTOP	GTOP
GTOP-CG261	2.14669	-10.3297	2.48072	-0.883088	-3.69912	-3.8125	9.65555	-10.499	-0.548836	6.47787	GTOP	GTOP
GTOP-CG271	0.426596	-7.02475	0.63867	3.40038	-1.96336	0.704108	1.49295	-5.89153	-3.12075	-1.56247	GTOP	GTOP
GTOP-CH041	2.37696	-10.5687	4.2427	0.410421	5.09334	6.66011	-1.54902	3.40889	-0.618855	4.14858	GTOP	GTOP
GTOP-CH081	3.94682	-11.6754	10.2369	8.4541	3.14549	-10.1395	8.6144	-9.54829	-15.3124	8.38492	GTOP	GTOP
GTOP-CH082	0.610013	-10.0382	-4.84085	-17.9241	-13.3815	-4.15107	-0.344042	-6.37919	5.99331	3.38678	GTOP	GTOP
GTOP-CH091	-1.77166	-9.72485	2.80886	-0.354528	-5.52092	-3.54286	4.30224	0.718393	-0.19661	-0.838651	GTOP	GTOP
GTOP-CH101	-1.45337	-9.87238	8.94311	11.3992	8.43203	3.60611	-7.46372	-3.18881	-10.2533	-6.0438	GTOP	GTOP
GTOP-CH102	0.313872	-8.09374	-2.55243	-1.00773	3.17268	-5.3093	3.32714	15.7322	4.75862	2.05193	GTOP	GTOP
GTOP-CI161	-1.90687	-4.40068	-2.28911	1.04422	9.55668	-4.82166	-18.2426	-1.68517	5.00289	9.33516	GTOP	GTOP
GTOP-CI201	-0.190116	-5.01634	4.12281	-10.9656	1.90787	-2.90756	2.2903	-7.84003	9.08444	19.6906	GTOP	GTOP
GTOP-CI211	1.21506	-11.5111	7.79551	10.551	-9.21601	6.03816	-7.61342	-4.55301	3.7356	-2.53879	GTOP	GTOP
GTOP-CI221	10.1634	-14.8762	12.5478	-11.7221	7.75079	-0.419759	18.3977	-14.4202	-9.2862	2.81742	GTOP	GTOP
GTOP-CI222	4.60992	-8.30564	8.14147	-2.8568	-9.03373	16.391	7.14544	-3.89388	-1.09846	-2.35683	GTOP	GTOP
GTOP-CI231	0.214403	-7.24812	13.999	-4.79496	3.75841	-2.54998	-6.59215	0.0801572	2.92256	8.03638	GTOP	GTOP
GTOP-CI251	-1.53367	-4.07159	5.15138	2.32895	-8.10445	5.71047	-1.1944	-3.31802	-10.7891	3.44806	GTOP	GTOP
GTOP-CI291	6.01529	-13.1512	-8.62713	11.77	-3.53499	-6.86071	-2.9545	4.8123	-2.49095	-8.73804	GTOP	GTOP
GTOP-CI301	-3.86169	-7.55189	0.859227	4.20992	5.1254	1.77176	1.8712	-11.5373	8.98903	7.61293	GTOP	GTOP
GTOP-CJ091	-0.00472602	-9.07448	6.81743	-8.41753	2.05548	5.85272	-4.68983	-9.60953	-6.88534	2.57849	GTOP	GTOP
GTOP-CJ092	-1.76089	-8.6254	6.09915	0.931041	12.2399	-9.78034	-0.232622	6.51163	-4.78363	-6.47421	GTOP	GTOP
GTOP-CJ093	-2.26282	-7.09694	-2.45402	5.05764	6.98106	-12.409	-9.13632	-6.34466	2.54582	-6.51937	GTOP	GTOP
GTOP-CJ111	4.04965	-5.52225	11.6612	-8.15434	6.29133	-9.35097	-0.174465	2.42351	0.280591	-0.432419	GTOP	GTOP
GTOP-CJ151	-0.757581	-6.8595	9.71398	-10.6495	-6.15554	-2.23556	3.39287	-3.13557	7.72496	1.68673	GTOP	GTOP
GTOP-CJ231	-3.97139	-9.68741	-3.34556	-8.87647	2.95059	-2.00266	1.71639	-16.5257	9.36461	7.14464	GTOP	GTOP
GTOP-CK031	0.919303	-5.41374	3.04583	11.2315	6.49647	-2.3849	-4.04786	-0.0320882	9.20615	-0.671456	GTOP	GTOP
GTOP-CL111	4.57036	-11.0115	10.4677	-11.4648	-5.94951	4.45099	-11.595	-5.7128	-10.4977	-13.5272	GTOP	GTOP
GTOP-CL141	0.891506	-9.26729	-4.66064	7.62996	-8.80007	3.79386	-8.50426	-17.4611	-2.3307	-1.09486	GTOP	GTOP
GTOP-CL161	-2.01802	-6.41079	-6.97286	5.38596	2.6525	-4.08162	-4.20203	-8.28845	-1.42858	3.34824	GTOP	GTOP
GTOP-CL171	-1.48613	-8.77466	4.60322	3.2258	-3.54477	-13.9542	-9.11683	-5.39364	6.9586	-9.48492	GTOP	GTOP
HG00403	1.45992	-5.19717	1.87641	-7.54005	8.3344	-1.97488	-1.18583	-8.9918	-1.37748	-16.5602	CHS	EAS
HG00404	1.02183	-6.45486	-0.655879	-1.04553	-3.97397	-0.413841	6.0384	-0.264866	9.87742	3.12709	CHS	EAS
HG00406	-1.46478	-8.83485	0.323427	9.47983	2.56499	15.8141	2.39313	8.63775	-1.29283	-5.18005	CHS	EAS
HG00407	-1.22735	-2.41867	0.052845	3.72984	-5.82687	-5.153	-7.77732	-8.4093	-3.69807	6.33589	CHS	EAS
HG00409	0.850902	-4.92997	0.420443	6.53731	-3.60724	-7.89087	0.15684	0.253572	2.3794	2.22373	CHS	EAS
HG00410	0.639982	-6.35338	0.745084	8.71278	2.77231	-3.69005	3.37063	8.17442	7.46104	0.825486	CHS	EAS
HG00419	-0.887959	-7.81553	1.25747	-12.3008	-8.40357	3.87251	0.690312	9.90716	-4.83108	7.10318	CHS	EAS
HG00421	0.237183	-6.60335	0.102558	-6.8437	-1.20543	9.61052	1.00498	-16.1141	-5.92676	-9.59775	CHS	EAS
HG00422	-1.80121	-3.92182	-3.08467	1.4788	-9.21682	5.78499	-6.93675	9.05334	12.1781	0.317834	CHS	EAS
HG00428	0.486525	-10.4331	-10.9007	-2.85911	-4.73916	-9.89935	0.614372	-7.43736	-2.09024	-2.05154	CHS	EAS
HG00436	-1.39697	-7.16152	-8.64858	5.75647	4.67559	-14.635	-3.81391	-6.88625	3.21476	3.37745	CHS	EAS
HG00437	0.513075	-11.0718	0.677495	-11.4414	-7.40042	-9.37218	-10.659	4.7813	-4.75522	8.3848	CHS	EAS
HG00442	-1.63964	-4.88311	-6.87926	-10.6128	0.545994	-3.99526	-2.66062	-8.00704	-2.78357	-17.8871	CHS	EAS
HG00443	-0.212915	-3.91405	3.96183	-2.77755	-4.20617	15.9396	-0.813979	10.9469	1.16099	8.20689	CHS	EAS
HG00445	-1.19199	-4.40071	-17.1066	3.55387	1.89836	2.80992	2.37498	-7.63009	13.4206	2.43152	CHS	EAS
HG00446	0.79242	-3.73159	-4.02936	1.12314	-0.31086	-2.07572	-5.05856	1.75625	2.50815	-8.07378	CHS	EAS
HG00448	-0.705763	-8.1225	1.21386	8.96258	3.9492	-3.22112	6.32387	-6.06413	4.85314	7.157	CHS	EAS
HG00449	0.18043	-3.65064	-2.62915	3.44225	1.21392	12.6582	-0.796663	-10.1469	3.48637	8.60066	CHS	EAS
HG00451	2.11604	-6.84008	-1.05126	-7.67877	-5.35363	0.630433	6.64798	-4.71733	3.86614	-0.519663	CHS	EAS
