Phecode	Trait_class	type	trait_class_loci_count	trait_loci_count	qtl_loci_count	gene_count
EC	Quantitative_trait	eQTL,sQTL	566	11	7	26
EC	Quantitative_trait	sQTL	566	11	3	26
AST	Quantitative_trait	eQTL	566	10	7	19
AST	Quantitative_trait	eQTL,sQTL	566	10	1	19
AST	Quantitative_trait	sQTL	566	10	2	19
HR	Quantitative_trait	eQTL	566	9	2	21
HR	Quantitative_trait	eQTL,sQTL	566	9	5	21
HR	Quantitative_trait	sQTL	566	9	2	21
LC	Quantitative_trait	eQTL	566	9	3	15
LC	Quantitative_trait	eQTL,sQTL	566	9	3	15
LC	Quantitative_trait	sQTL	566	9	3	15
BC	Quantitative_trait	eQTL	566	8	1	19
BC	Quantitative_trait	eQTL,sQTL	566	8	2	19
BC	Quantitative_trait	sQTL	566	8	5	19
DBP	Quantitative_trait	eQTL	566	8	2	17
DBP	Quantitative_trait	eQTL,sQTL	566	8	5	17
DBP	Quantitative_trait	sQTL	566	8	1	17
MAP	Quantitative_trait	eQTL	566	8	2	17
MAP	Quantitative_trait	eQTL,sQTL	566	8	4	17
MAP	Quantitative_trait	sQTL	566	8	2	17
NC	Quantitative_trait	eQTL	566	8	2	10
NC	Quantitative_trait	eQTL,sQTL	566	8	3	10
NC	Quantitative_trait	sQTL	566	8	3	10
FG	Quantitative_trait	eQTL	566	7	2	21
FG	Quantitative_trait	eQTL,sQTL	566	7	3	21
FG	Quantitative_trait	sQTL	566	7	2	21
SBP	Quantitative_trait	eQTL	566	7	2	14
SBP	Quantitative_trait	eQTL,sQTL	566	7	2	14
SBP	Quantitative_trait	sQTL	566	7	3	14
BUN	Quantitative_trait	eQTL	566	4	1	10
BUN	Quantitative_trait	eQTL,sQTL	566	4	3	10
T-BIL	Quantitative_trait	eQTL	566	4	1	7
T-BIL	Quantitative_trait	eQTL,sQTL	566	4	1	7
T-BIL	Quantitative_trait	sQTL	566	4	2	7
PP	Quantitative_trait	eQTL,sQTL	566	3	1	3
PP	Quantitative_trait	sQTL	566	3	2	3
250.2	Endocrine_metabolic	eQTL	132	56	18	99
250.2	Endocrine_metabolic	eQTL,sQTL	132	56	18	99
250.2	Endocrine_metabolic	sQTL	132	56	20	99
274.1	Endocrine_metabolic	eQTL	132	19	6	30
274.1	Endocrine_metabolic	eQTL,sQTL	132	19	6	30
274.1	Endocrine_metabolic	sQTL	132	19	7	30
250	Endocrine_metabolic	eQTL	132	11	7	20
250	Endocrine_metabolic	eQTL,sQTL	132	11	1	20
250	Endocrine_metabolic	sQTL	132	11	3	20
242.1	Endocrine_metabolic	eQTL	132	9	5	9
242.1	Endocrine_metabolic	eQTL,sQTL	132	9	2	9
242.1	Endocrine_metabolic	sQTL	132	9	2	9
272	Endocrine_metabolic	eQTL	132	8	3	14
272	Endocrine_metabolic	eQTL,sQTL	132	8	3	14
272	Endocrine_metabolic	sQTL	132	8	2	14
272.1	Endocrine_metabolic	eQTL	132	8	3	14
272.1	Endocrine_metabolic	eQTL,sQTL	132	8	3	14
272.1	Endocrine_metabolic	sQTL	132	8	2	14
272.9	Endocrine_metabolic	eQTL	132	8	3	14
272.9	Endocrine_metabolic	eQTL,sQTL	132	8	3	14
272.9	Endocrine_metabolic	sQTL	132	8	2	14
250.22	Endocrine_metabolic	eQTL	132	6	5	16
250.22	Endocrine_metabolic	eQTL,sQTL	132	6	1	16
272.13	Endocrine_metabolic	eQTL	132	6	2	10
272.13	Endocrine_metabolic	eQTL,sQTL	132	6	2	10
272.13	Endocrine_metabolic	sQTL	132	6	2	10
274	Endocrine_metabolic	eQTL	132	5	1	10
274	Endocrine_metabolic	eQTL,sQTL	132	5	1	10
274	Endocrine_metabolic	sQTL	132	5	3	10
274.11	Endocrine_metabolic	eQTL	132	5	1	10
274.11	Endocrine_metabolic	eQTL,sQTL	132	5	1	10
274.11	Endocrine_metabolic	sQTL	132	5	3	10
250.21	Endocrine_metabolic	eQTL	132	4	2	14
250.21	Endocrine_metabolic	eQTL,sQTL	132	4	1	14
250.21	Endocrine_metabolic	sQTL	132	4	1	14
250.23	Endocrine_metabolic	eQTL	132	4	2	16
250.23	Endocrine_metabolic	eQTL,sQTL	132	4	2	16
250.24	Endocrine_metabolic	eQTL	132	4	2	14
250.24	Endocrine_metabolic	eQTL,sQTL	132	4	1	14
250.24	Endocrine_metabolic	sQTL	132	4	1	14
250.25	Endocrine_metabolic	eQTL	132	4	2	15
250.25	Endocrine_metabolic	eQTL,sQTL	132	4	2	15
250.6	Endocrine_metabolic	eQTL	132	4	1	10
250.6	Endocrine_metabolic	eQTL,sQTL	132	4	1	10
250.6	Endocrine_metabolic	sQTL	132	4	2	10
272.11	Endocrine_metabolic	eQTL	132	4	1	6
272.11	Endocrine_metabolic	eQTL,sQTL	132	4	2	6
272.11	Endocrine_metabolic	sQTL	132	4	1	6
241	Endocrine_metabolic	eQTL	132	3	2	4
241	Endocrine_metabolic	eQTL,sQTL	132	3	1	4
242	Endocrine_metabolic	eQTL	132	3	2	3
242	Endocrine_metabolic	sQTL	132	3	1	3
244	Endocrine_metabolic	eQTL	132	1	1	2
244.4	Endocrine_metabolic	eQTL	132	1	1	2
250.7	Endocrine_metabolic	eQTL	132	1	1	4
251	Endocrine_metabolic	eQTL	132	1	1	5
270.33	Endocrine_metabolic	sQTL	132	1	1	1
277	Endocrine_metabolic	sQTL	132	1	1	1
277.2	Endocrine_metabolic	sQTL	132	1	1	1
279	Endocrine_metabolic	sQTL	132	1	1	1
555	Digestive	eQTL	60	19	4	40
555	Digestive	eQTL,sQTL	60	19	7	40
555	Digestive	sQTL	60	19	8	40
555.1	Digestive	eQTL	60	17	4	33
555.1	Digestive	eQTL,sQTL	60	17	6	33
555.1	Digestive	sQTL	60	17	7	33
555.2	Digestive	eQTL	60	9	2	14
555.2	Digestive	eQTL,sQTL	60	9	5	14
555.2	Digestive	sQTL	60	9	2	14
531	Digestive	eQTL	60	8	4	18
531	Digestive	eQTL,sQTL	60	8	3	18
531	Digestive	sQTL	60	8	1	18
531.3	Digestive	eQTL	60	8	2	22
531.3	Digestive	eQTL,sQTL	60	8	5	22
531.3	Digestive	sQTL	60	8	1	22
531.2	Digestive	eQTL	60	5	1	12
531.2	Digestive	eQTL,sQTL	60	5	2	12
531.2	Digestive	sQTL	60	5	2	12
573	Digestive	eQTL,sQTL	60	2	1	5
573	Digestive	sQTL	60	2	1	5
550	Digestive	sQTL	60	1	1	1
550.1	Digestive	sQTL	60	1	1	1
573.7	Digestive	eQTL,sQTL	60	1	1	3
574	Digestive	eQTL	60	1	1	2
574.1	Digestive	eQTL,sQTL	60	1	1	3
411.2	Circulatory_system	eQTL	55	17	5	37
411.2	Circulatory_system	eQTL,sQTL	55	17	9	37
411.2	Circulatory_system	sQTL	55	17	3	37
411.3	Circulatory_system	eQTL	55	11	1	19
411.3	Circulatory_system	eQTL,sQTL	55	11	7	19
411.3	Circulatory_system	sQTL	55	11	3	19
401.3	Circulatory_system	eQTL	55	7	3	16
401.3	Circulatory_system	eQTL,sQTL	55	7	3	16
401.3	Circulatory_system	sQTL	55	7	1	16
401	Circulatory_system	eQTL	55	6	2	17
401	Circulatory_system	eQTL,sQTL	55	6	4	17
401.1	Circulatory_system	eQTL	55	5	2	14
401.1	Circulatory_system	eQTL,sQTL	55	5	3	14
427.21	Circulatory_system	eQTL	55	5	3	6
427.21	Circulatory_system	sQTL	55	5	2	6
401.2	Circulatory_system	eQTL,sQTL	55	4	4	17
401.21	Circulatory_system	eQTL,sQTL	55	4	4	15
427.2	Circulatory_system	eQTL	55	4	2	5
427.2	Circulatory_system	sQTL	55	4	2	5
433	Circulatory_system	eQTL	55	4	1	7
433	Circulatory_system	eQTL,sQTL	55	4	1	7
433	Circulatory_system	sQTL	55	4	2	7
427	Circulatory_system	sQTL	55	1	1	1
427.3	Circulatory_system	eQTL	55	1	1	2
185	Neoplasms	eQTL	43	12	5	20
185	Neoplasms	eQTL,sQTL	43	12	2	20
185	Neoplasms	sQTL	43	12	5	20
174	Neoplasms	eQTL	43	6	2	11
174	Neoplasms	eQTL,sQTL	43	6	4	11
174.11	Neoplasms	eQTL	43	6	3	9
174.11	Neoplasms	eQTL,sQTL	43	6	3	9
193	Neoplasms	eQTL	43	5	2	6
193	Neoplasms	eQTL,sQTL	43	5	2	6
193	Neoplasms	sQTL	43	5	1	6
150	Neoplasms	eQTL,sQTL	43	4	3	10
150	Neoplasms	sQTL	43	4	1	10
174.1	Neoplasms	eQTL	43	4	2	8
174.1	Neoplasms	eQTL,sQTL	43	4	2	8
151	Neoplasms	eQTL,sQTL	43	3	2	15
151	Neoplasms	sQTL	43	3	1	15
218	Neoplasms	eQTL	43	2	1	3
218	Neoplasms	eQTL,sQTL	43	2	1	3
218.1	Neoplasms	eQTL,sQTL	43	2	2	4
225	Neoplasms	eQTL	43	2	1	2
225	Neoplasms	eQTL,sQTL	43	2	1	2
153	Neoplasms	eQTL,sQTL	43	1	1	2
165	Neoplasms	sQTL	43	1	1	1
165.1	Neoplasms	sQTL	43	1	1	1
199	Neoplasms	eQTL,sQTL	43	1	1	2
695.4	Dermatologic	eQTL	18	4	3	4
695.4	Dermatologic	sQTL	18	4	1	4
695.42	Dermatologic	eQTL	18	4	3	4
695.42	Dermatologic	sQTL	18	4	1	4
709	Dermatologic	eQTL	18	4	3	4
709	Dermatologic	sQTL	18	4	1	4
939	Dermatologic	eQTL,sQTL	18	4	2	9
939	Dermatologic	sQTL	18	4	2	9
695	Dermatologic	eQTL	18	3	2	3
695	Dermatologic	sQTL	18	3	1	3
696	Dermatologic	eQTL	18	3	1	8
696	Dermatologic	eQTL,sQTL	18	3	1	8
696	Dermatologic	sQTL	18	3	1	8
696.4	Dermatologic	eQTL	18	3	1	8
696.4	Dermatologic	eQTL,sQTL	18	3	1	8
696.4	Dermatologic	sQTL	18	3	1	8
696.41	Dermatologic	eQTL	18	3	1	8
696.41	Dermatologic	eQTL,sQTL	18	3	1	8
696.41	Dermatologic	sQTL	18	3	1	8
709.2	Dermatologic	eQTL	18	3	2	3
709.2	Dermatologic	sQTL	18	3	1	3
681.1	Dermatologic	eQTL,sQTL	18	1	1	2
709.7	Dermatologic	sQTL	18	1	1	1
947	Dermatologic	eQTL,sQTL	18	1	1	1
495	Respiratory	eQTL	16	11	3	21
495	Respiratory	eQTL,sQTL	16	11	3	21
495	Respiratory	sQTL	16	11	5	21
594	Genitourinary	eQTL	16	7	5	9
594	Genitourinary	eQTL,sQTL	16	7	1	9
594	Genitourinary	sQTL	16	7	1	9
496	Respiratory	eQTL	16	4	2	9
496	Respiratory	eQTL,sQTL	16	4	1	9
496	Respiratory	sQTL	16	4	1	9
594.1	Genitourinary	eQTL	16	4	3	5
594.1	Genitourinary	sQTL	16	4	1	5
472	Respiratory	eQTL	16	1	1	1
476	Respiratory	eQTL	16	1	1	1
585	Genitourinary	eQTL	16	1	1	1
585.3	Genitourinary	eQTL	16	1	1	1
585.33	Genitourinary	sQTL	16	1	1	1
593	Genitourinary	eQTL	16	1	1	1
594.3	Genitourinary	eQTL	16	1	1	2
599.2	Genitourinary	eQTL,sQTL	16	1	1	1
600	Genitourinary	eQTL,sQTL	16	1	1	1
613	Genitourinary	eQTL	16	1	1	1
070.2	Infectious_diseases	eQTL	11	8	4	8
070.2	Infectious_diseases	eQTL,sQTL	11	8	1	8
070.2	Infectious_diseases	sQTL	11	8	3	8
070	Infectious_diseases	eQTL,sQTL	11	2	1	2
070	Infectious_diseases	sQTL	11	2	1	2
070.4	Infectious_diseases	sQTL	11	1	1	1
365	Sense_organs	eQTL,sQTL	8	2	1	2
365	Sense_organs	sQTL	8	2	1	2
362	Sense_organs	eQTL	8	1	1	1
362.2	Sense_organs	eQTL	8	1	1	1
362.26	Sense_organs	sQTL	8	1	1	1
362.29	Sense_organs	eQTL	8	1	1	1
370	Sense_organs	eQTL	8	1	1	2
386	Sense_organs	eQTL	8	1	1	2
386.2	Sense_organs	eQTL	8	1	1	2
386.3	Sense_organs	eQTL	8	1	1	2
386.9	Sense_organs	eQTL	8	1	1	2
714.1	Musculoskeletal	eQTL	6	5	2	8
714.1	Musculoskeletal	eQTL,sQTL	6	5	1	8
714.1	Musculoskeletal	sQTL	6	5	2	8
317	Mental_disorders	eQTL	6	3	1	10
317	Mental_disorders	eQTL,sQTL	6	3	2	10
317.1	Mental_disorders	eQTL,sQTL	6	3	3	8
290	Mental_disorders	sQTL	6	1	1	1
290.1	Mental_disorders	sQTL	6	1	1	1
290.11	Mental_disorders	sQTL	6	1	1	1
290.13	Mental_disorders	sQTL	6	1	1	1
290.3	Mental_disorders	sQTL	6	1	1	1
291	Mental_disorders	sQTL	6	1	1	1
291.4	Mental_disorders	sQTL	6	1	1	1
714	Musculoskeletal	sQTL	6	1	1	1
332	Neurological	eQTL	5	2	1	4
332	Neurological	eQTL,sQTL	5	2	1	4
340	Neurological	eQTL	5	2	1	2
340	Neurological	sQTL	5	2	1	2
357	Neurological	sQTL	5	1	1	1
282	Hematopoietic	eQTL,sQTL	2	1	1	13
285	Hematopoietic	sQTL	2	1	1	2
287.3	Hematopoietic	sQTL	2	1	1	2
790.6	Symptoms	sQTL	1	1	1	1
